Player_Id,Player_Name,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,total_runs_conceded,balls_bowled,economy_rate,all_rounder_index,Is_Keeper,Country,wickets,Team_Name,Role
58,SB Styris,131.0,134.0,13.0,97.76119402985076,9.701492537313433,2.0,216.0,0.0555555555555555,948.8805970149252,0,New Zealand,8,Deccan Chargers,All-Rounder
58,SB Styris,131.0,134.0,13.0,97.76119402985076,9.701492537313433,2.0,216.0,0.0555555555555555,948.8805970149252,0,New Zealand,8,Chennai Super Kings,All-Rounder
59,SB Bangar,49.0,58.0,4.0,84.48275862068965,6.896551724137931,2.0,150.0,0.08,667.2413793103449,0,India,4,Deccan Chargers,Batsman
59,SB Bangar,49.0,58.0,4.0,84.48275862068965,6.896551724137931,2.0,150.0,0.08,667.2413793103449,0,India,4,Kolkata Knight Riders,Batsman
60,WPUJC Vaas,81.0,73.0,5.0,110.95890410958904,6.849315068493151,13.0,284.0,0.2746478873239436,237.53073410607652,0,Sri Lanka,18,Deccan Chargers,Bowler
61,RP Singh,52.0,78.0,3.0,66.66666666666666,3.8461538461538463,87.0,1802.0,0.2896781354051054,205.93869731800768,0,India,74,Deccan Chargers,Bowler
61,RP Singh,52.0,78.0,3.0,66.66666666666666,3.8461538461538463,87.0,1802.0,0.2896781354051054,205.93869731800768,0,India,74,Kochi Tuskers Kerala,Bowler
61,RP Singh,52.0,78.0,3.0,66.66666666666666,3.8461538461538463,87.0,1802.0,0.2896781354051054,205.93869731800768,0,India,74,Mumbai Indians,Bowler
61,RP Singh,52.0,78.0,3.0,66.66666666666666,3.8461538461538463,87.0,1802.0,0.2896781354051054,205.93869731800768,0,India,74,Royal Challengers Bangalore,Bowler
61,RP Singh,52.0,78.0,3.0,66.66666666666666,3.8461538461538463,87.0,1802.0,0.2896781354051054,205.93869731800768,0,India,74,Rising Pune Supergiants,Bowler
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,1,India,0,Kolkata Knight Riders,Wicketkeeper
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,1,India,0,Chennai Super Kings,Wicketkeeper
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,1,India,0,Kings Xi Punjab,Wicketkeeper
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,0,India,0,Kolkata Knight Riders,Batsman
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,0,India,0,Chennai Super Kings,Batsman
62,WP Saha,1323.0,1025.0,159.0,129.0731707317073,15.51219512195122,,,,,0,India,0,Kings Xi Punjab,Batsman
63,LR Shukla,399.0,358.0,48.0,111.45251396648044,13.40782122905028,15.0,316.0,0.2848101265822785,231.2818125387957,0,India,13,Kolkata Knight Riders,Bowler
63,LR Shukla,399.0,358.0,48.0,111.45251396648044,13.40782122905028,15.0,316.0,0.2848101265822785,231.2818125387957,0,India,13,Delhi Daredevils,Bowler
64,DPMD Jayawardene,1808.0,1522.0,240.0,118.7910643889619,15.768725361366624,,,,,0,Sri Lanka,0,Kings Xi Punjab,Batsman
64,DPMD Jayawardene,1808.0,1522.0,240.0,118.7910643889619,15.768725361366624,,,,,0,Sri Lanka,0,Kochi Tuskers Kerala,Batsman
64,DPMD Jayawardene,1808.0,1522.0,240.0,118.7910643889619,15.768725361366624,,,,,0,Sri Lanka,0,Delhi Daredevils,Batsman
65,S Sohal,368.0,311.0,52.0,118.32797427652731,16.720257234726688,,,,,0,India,0,Kings Xi Punjab,Batsman
65,S Sohal,368.0,311.0,52.0,118.32797427652731,16.720257234726688,,,,,0,India,0,Deccan Chargers,Batsman
66,B Lee,124.0,102.0,16.0,121.5686274509804,15.68627450980392,47.0,894.0,0.3154362416107382,219.29495202336253,0,Australia,15,Kings Xi Punjab,Bowler
