Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name_batting,Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name_bowling,all_rounder_index
178,676.0,587,81,115.1618398637138,13.798977853492334,TL Suman,178,4.0,152,0.15789473684210528,TL Suman,374.2475865985235
185,2511.0,2092,326,120.02868068833652,15.583173996175908,M Vijay,185,0.0,36,0.0,M Vijay,inf
186,28.0,30,3,93.33333333333333,10.0,SB Jakati,186,25.0,1059,0.141643059490085,SB Jakati,399.6666666666667
188,117.0,112,9,104.46428571428572,8.035714285714286,RJ Harris,188,33.0,836,0.23684210526315788,RJ Harris,263.343253968254
190,126.0,93,16,135.48387096774192,17.20430107526882,M Morkel,190,49.0,1654,0.1777509068923821,M Morkel,349.0344524906737
191,692.0,571,70,121.19089316987741,12.259194395796849,AD Mathews,191,12.0,764,0.09424083769633508,AD Mathews,591.1510021404943
192,409.0,364,44,112.36263736263736,12.087912087912088,J Botha,192,10.0,699,0.08583690987124463,J Botha,638.6813186813187
194,81.0,100,10,81.0,10.0,SL Malinga,194,105.0,2318,0.27178602243313205,SL Malinga,224.46825396825395
198,123.0,103,13,119.41747572815532,12.62135922330097,AB McDonald,198,0.0,187,0.0,AB McDonald,inf
199,285.0,271,29,105.1660516605166,10.70110701107011,Y Nagar,199,6.0,71,0.5070422535211268,Y Nagar,151.1941369413694
201,231.0,245,24,94.28571428571428,9.795918367346939,R Ashwin,201,42.0,2299,0.1096128751631144,R Ashwin,503.29365079365084
209,270.0,236,28,114.40677966101696,11.864406779661017,R Sathish,209,0.0,139,0.0,R Sathish,inf
210,159.0,178,15,89.32584269662921,8.426966292134832,R McLaren,210,26.0,359,0.43454038997214484,R McLaren,159.72702391241717
211,217.0,218,24,99.54128440366972,11.009174311926607,AA Jhunjhunwala,211,0.0,85,0.0,AA Jhunjhunwala,inf
217,26.0,25,2,104.0,8.0,JM Kemp,217,4.0,44,0.5454545454545455,JM Kemp,143.66666666666666
221,1959.0,1380,256,141.95652173913044,18.55072463768116,KA Pollard,221,21.0,1223,0.10302534750613246,KA Pollard,556.2957211870255
226,37.0,29,6,127.58620689655173,20.689655172413794,S Narwal,226,1.0,106,0.056603773584905655,S Narwal,947.1264367816092
228,156.0,99,17,157.57575757575756,17.17171717171717,Bipul Sharma,228,4.0,330,0.07272727272727272,Bipul Sharma,766.2878787878788
230,181.0,143,18,126.57342657342659,12.587412587412588,AC Voges,230,0.0,54,0.0,AC Voges,inf
232,133.0,122,18,109.01639344262296,14.754098360655737,UT Yadav,232,83.0,1685,0.29554896142433235,UT Yadav,223.6849035486207
235,66.0,77,8,85.71428571428571,10.38961038961039,R Sharma,235,9.0,930,0.05806451612903226,R Sharma,903.968253968254
238,23.0,26,2,88.46153846153845,7.6923076923076925,SW Tait,238,36.0,506,0.42687747035573126,SW Tait,161.36039886039885
241,203.0,159,22,127.67295597484276,13.836477987421384,PD Collingwood,241,0.0,89,0.0,PD Collingwood,inf
244,34.0,26,5,130.76923076923077,19.230769230769234,A Mithun,244,26.0,298,0.5234899328859061,A Mithun,160.8974358974359
